unitid,headcountAll,headcountUndergrad
157766,1609,1609
157793,7788,6449
157809,2108,1927
157818,1054,1054
157854,,
157863,1773,917
157951,25383,21080
158088,3735,3735
158343,73,73
158352,5659,5659
158431,10526,10526
158440,224,224
158477,950,818
158662,28347,28347
158723,467,467
158769,2105,2105
158802,1447,1447
158884,3522,3522
159009,5928,5018
159197,696,696
159373,3092,1073
159382,3282,3282
159391,32189,25654
159407,3928,3928
159416,5831,5252
159443,5503,5503
159568,1925,1282
159638,,
159647,13696,10768
159656,5780,3540
159717,10181,8859
159939,13454,10144
159948,3662,1711
159966,8069,7109
159993,10771,8665
160010,4780,4780
160029,145,0
160038,11469,9903
160065,1409,1065
160074,2292,2122
160409,91,91
160481,4691,4691
160524,779,779
160533,,
160579,4055,4055
160612,18795,16849
160621,8151,6635
160630,3884,3375
160649,3743,3743
160658,18892,17081
160667,4569,4569
160755,14681,9270
160904,3875,2883
160913,7350,7350
160940,1363,1363
160959,467,422
160968,90,0
160977,1900,1900
160995,787,787
161004,1911,1911
161022,268,268
161077,4225,4225
161086,1994,1994
161138,3318,3318
161165,3569,2807
161192,3737,3737
161208,70,70
161217,6656,6656
161226,2629,2340
161235,1769,1769
161244,1367,1367
161253,12910,10069
161280,,
161299,963,946
161341,2068,2068
161457,8085,4753
161484,1447,1447
161509,411,369
161518,3945,2246
161545,10697,10697
161554,12050,9255
161563,1318,1061
161572,605,605
161581,664,664
161688,4769,4769
161767,26080,26080
161776,629,629
161864,9830,9830
161873,7553,3882
162007,6430,5063
162061,1079,447
162104,3439,3439
162122,12722,12722
162168,3923,3923
162210,1692,1504
162283,4700,4001
162557,9012,9012
162584,6237,5273
162609,1069,1069
162654,2941,1519
162681,1376,1359
162690,7024,7024
162706,9732,9732
162760,2754,1567
162779,14149,14149
162928,25372,6895
163028,1605,1605
163046,6646,3983
163204,64737,44009
163259,7033,898
163268,15144,11929
163286,43352,31229
163295,2705,2400
163338,5064,4295
163426,37390,37390
163453,9027,7476
163462,2617,1963
163532,620,396
163578,3887,1506
163657,20785,20785
163736,1246,1246
163842,258,4
163851,9582,8679
163912,2091,2060
163921,1916,1831
163976,603,502
164058,727,727
164076,25348,20222
164085,663,0
164146,,
164155,4605,4605
164173,5143,4498
164207,613,323
164216,1621,1562
164243,123,0
164270,4508,1940
164313,5397,5397
164368,1775,456
164438,1359,1100
164447,4275,1712
164465,1904,1904
164474,315,0
164492,1725,1120
164562,3140,2485
164580,3918,2096
164614,124,124
164632,2780,1767
164641,1516,1516
164720,2038,2038
164739,6040,4337
164748,5161,5161
164775,3318,3318
164872,1187,661
164915,180,0
164924,16483,10311
164933,726,516
164988,41276,23609
165015,6384,3786
165024,13510,10751
165033,11949,11949
165112,18746,18746
165167,4471,1464
165194,6284,6284
165264,873,873
165334,3884,2447
165495,12,0
165529,3617,3233
165574,1715,1715
165644,1712,1488
165662,4875,3965
165671,2940,2546
165699,8345,2897
165705,103,0
165802,3194,3194
165820,11644,4846
165866,10869,5234
165884,724,724
165936,2293,1710
165945,2442,0
165981,3244,3244
166018,1582,1582
166027,34322,14495
166045,257,9
166054,227,101
166124,2907,2907
166133,9425,9425
166276,514,514
166391,1892,1575
166407,330,330
166452,8364,2477
166489,245,54
166513,19173,14396
166601,262,262
166629,32000,24820
166638,20741,15596
166647,8067,8067
166656,5808,3461
166665,,
166674,3112,2903
166683,11501,4446
166692,1570,1472
166708,1218,0
166717,591,0
166823,11784,11784
166850,2931,2673
166869,1830,592
166887,13364,13364
166911,402,402
166939,2590,2538
166948,1504,1483
166957,6613,6613
166984,800,624
167057,797,424
167093,490,0
167181,196,0
167215,1147,0
167251,1124,1124
167260,1930,1511
167288,2476,1941
167312,11187,11187
167321,1521,1521
167358,36286,21904
167376,9632,9632
167394,1855,1318
167455,391,346
167464,64,0
167525,7372,7372
167534,12135,12135
167598,2494,1431
167631,3912,3912
167677,236,39
167729,13387,9431
167738,1270,1270
167783,5131,1797
167792,379,379
167835,3324,2736
167899,3618,2430
167905,9286,9286
167987,10545,8449
167996,2481,2481
168005,10368,6393
168148,11653,5657
168218,2633,2633
168227,4186,4053
168254,4137,2833
168263,7413,6267
168281,1649,1649
168290,1647,1011
168342,2258,2202
168421,6223,3922
168430,9939,6629
168528,1739,1738
168546,1558,1558
168591,1437,1437
168607,2626,2626
168740,4635,2316
168786,2375,2052
168838,4167,4148
168847,9216,9172
168883,3034,3034
169080,4298,4095
169099,341,0
169220,151,0
169248,33045,23696
169275,17045,17045
169327,937,816
169363,910,553
169424,155,0
169442,1459,1402
169479,16013,12885
169521,16694,16694
169628,1033,0
169716,6283,3598
169798,28575,21961
169910,17197,15753
169974,1901,1901
169983,2567,2013
169992,1455,1455
170000,455,455
170037,3521,2680
170055,25162,25162
170082,28906,23556
170091,252,252
170240,26428,26428
170301,3512,3512
170417,1062,1062
170444,9515,9515
170532,1421,1421
170541,16850,16850
170550,9675,9675
170587,2493,2493
170620,6550,6550
170639,3143,3050
170657,27811,27811
170675,4884,3328
170790,35209,35209
170806,6010,3870
170842,3345,1169
170967,1281,1261
170976,44514,28243
171100,53371,40015
171128,7505,6023
171137,10540,8524
171146,9884,8198
171155,7104,7104
171225,6090,6090
171234,2796,2796
171298,6306,6276
171304,7331,7331
171395,4295,4295
171456,11302,10081
171483,6290,6290
171492,4121,3765
171535,46007,46007
171571,23802,19267
171599,1305,1239
171881,426,421
172033,539,313
172051,12913,10884
172200,21006,21006
172264,3318,2884
172291,6356,6356
172307,4073,4073
172334,6340,3769
172440,671,671
172477,4646,0
172608,4549,1474
172617,20860,20860
172635,28677,28677
172644,36986,24300
172671,2154,2154
172699,28533,21897
172705,287,0
172866,256,256
172918,4095,4095
172954,3366,3366
172963,12256,12256
172972,59,59
173045,4613,3451
173063,4932,4932
173115,2361,2361
173124,6645,5972
173142,641,641
173160,5372,3963
173179,744,0
173203,6253,6253
173258,2047,2047
173300,2860,2811
173328,3741,2131
173416,5665,5665
173452,1272,1184
173461,8983,8983
173489,453,453
173559,9063,9063
173629,2028,1903
173638,5264,5264
173647,2530,2530
173665,7740,2268
173683,155,5
173708,9609,9609
173735,2040,2040
173799,9852,9852
173805,1612,1612
173887,2449,2449
173896,873,0
173902,2236,2236
173911,6152,6152
173920,18218,15553
173957,275,0
173966,431,173
173984,2726,1901
173993,2345,2345
174020,11379,10041
174066,63929,43535
174075,3152,3152
174118,433,433
174127,713,626
174136,14072,14072
174154,534,534
174206,188,188
174233,12663,11361
174251,2085,2085
174279,2268,2124
174358,8722,7887
174376,10671,10671
174385,841,841
174394,1021,1021
174428,14595,14595
174437,1445,1445
174473,5328,5328
174482,103,103
174491,3664,3474
174507,1133,289
174525,142,142
174570,1849,1849
174604,452,452
174738,8207,8207
174747,2138,2138
174756,6195,6195
174783,20895,18373
174792,2084,1929
174817,7821,2366
174844,3233,3233
174862,1343,1108
174899,4890,3277
174914,11859,6515
174932,219,219
